Slug,Lang,Group,TitleScore,MetaScore,H1Score,UniquenessScore,GEOScore,DepthScore,InternalLinkingScore,TrustToneScore,CTAScore,IntlScore,TotalScore,Status,IndexRecommendation,PrimaryIssue,Evidence,RecommendedAction
meet-venezuelan-women,en,core,9,9,9,9,8,9,9,9,9,9,89,PASS,KEEP INDEX,No major issue,3 deep sections 1200+ words; 4 FAQs; ES counterpart ✓; strong relatedLinks; keyword in title/H1/desc/intro ✓,Maintain page; add visible last-reviewed date
venezuelan-dating-site,en,core,9,9,9,8,8,9,8,9,9,9,87,PASS,KEEP INDEX,No major issue,Core head term; unique trust/verification angle; ES counterpart ✓; strong FAQ,Maintain page; expand trust/verification section with data point
venezuelan-women-for-marriage,en,core,9,9,9,8,8,9,9,9,9,8,87,PASS,KEEP INDEX,No major issue,High purchase-intent keyword; marriage-specific content unique from sibling pages; ES counterpart ✓,Maintain; add 1 FAQ on visa/immigration for international marriage
venezuelan-women-family-values,en,core,8,8,8,8,8,8,8,9,9,8,82,PASS,KEEP INDEX,No major issue,High emotional intent; strong ES counterpart; unique family-values angle; good relatedLinks,Maintain; consider adding 1 cultural anecdote section for depth
why-venezuelan-women,en,core,8,8,8,8,8,8,9,8,9,7,81,PASS,KEEP INDEX,No major issue,Informational intent; converts browsers to consideration stage; ES counterpart ✓,Add 1 FAQ on dating expectations; link to dating-culture page
dating-in-venezuela-safely,en,core,8,8,8,8,9,7,8,9,8,7,80,PASS,KEEP INDEX,No major issue,High E-E-A-T value; trust/safety angle; strong FAQ; links to Safety page ✓,Expand body sections to 1500+ words with moderation process detail
venezuelan-dating-culture,en,intent,8,8,8,8,9,8,8,8,8,8,83,PASS,KEEP INDEX,No ES counterpart (HIGH),High GEO value — informational intent; topical authority signal; 3 sections,Add /es/cultura-de-citas-venezolanas counterpart (HIGH priority)
serious-relationship-venezuelan-woman,en,intent,9,8,9,8,8,8,9,9,9,8,85,PASS,KEEP INDEX,No major issue,Strong purchase intent; differentiated from generic city pages; ES counterpart ✓,Maintain; add 1 success-story anecdote for E-E-A-T
verified-venezuelan-dating-profiles,en,intent,9,8,9,8,8,8,8,9,9,8,84,PASS,KEEP INDEX,No major issue,Unique verification-focused angle; high conversion intent; ES counterpart ✓,Add FAQ: How does verification work? to strengthen GEO signal
venezuelan-women-in-united-states,en,country,8,8,8,7,7,8,8,8,8,9,79,PARTIAL,KEEP INDEX,Weak GEO specificity,Largest diaspora market; country-level breadth justified; ES counterpart ✓; generic sections without state-level data,Add 3 US metro area callouts (Miami; Houston; NY) with authentic statistics
venezuelan-women-in-canada,en,country,8,8,8,7,7,8,8,8,8,8,78,PARTIAL,KEEP INDEX,Weak GEO specificity,Significant Venezuelan diaspora in Toronto/Calgary/Vancouver; ES counterpart ✓; city-level data absent,Add Toronto/Calgary diaspora statistics; link to any CA city landing pages
venezuelan-women-in-spain,en,country,8,8,8,7,7,8,8,8,8,8,78,PARTIAL,KEEP INDEX,ES counterpart needed (HIGH priority),Spain is primary European market for Venezuelan immigrants; EN page exists; no /es/mujeres-venezolanas-en-espana,Add ES counterpart immediately — Spain audience primarily Spanish-speaking
venezuelan-women-in-united-kingdom,en,country,8,8,8,7,7,7,8,8,8,8,77,PARTIAL,KEEP INDEX,Weak GEO specificity,UK has notable Venezuelan diaspora (London/Manchester); ES counterpart ✓; lacks UK-specific community data,Add UK community stats; reference London Venezuelan community
venezuelan-women-in-australia,en,country,7,8,7,7,6,7,8,8,8,8,74,PARTIAL,KEEP INDEX,Small diaspora; weak specificity,Small Venezuelan community in Australia; content is generic; sections do not reference Australian cities,Add Sydney/Melbourne Venezuelan community references; consider merging with NZ if created
