Slug,Lang,CurrentStatus,RecommendedAction,Priority,Reason,SuggestedTargetOrRewriteAngle,SpanishCounterpartAction,Notes
meet-venezuelan-women,en,PASS,KEEP,P3,Highest-volume keyword; 3 deep sections; strong FAQ; ES counterpart exists; no major issues,Maintain as-is; add visible last-reviewed date,ES counterpart exists — KEEP,Flagship page; do not touch until Sprint 3 content refresh
venezuelan-dating-site,en,PASS,KEEP,P3,Core head term; unique trust/verification angle; ES counterpart exists; strong structure,Add 1 data-point to trust/verification section,ES counterpart exists — KEEP,Strong commercial page; low-touch maintenance only
venezuelan-women-for-marriage,en,PASS,KEEP,P3,High purchase-intent keyword; marriage-specific content differentiated from sibling pages; ES counterpart exists,Add FAQ on visa/immigration for international couples,ES counterpart exists — KEEP,—
venezuelan-women-family-values,en,PASS,KEEP,P3,High emotional intent; strong ES counterpart; differentiated from generic city pages,Add 1 cultural anecdote section for depth,ES counterpart exists — KEEP,—
why-venezuelan-women,en,PASS,KEEP,P3,Informational intent; converts browsers to consideration stage; ES counterpart exists,Add 1 FAQ on dating expectations; contextually link to dating-culture page,ES counterpart exists — KEEP,—
dating-in-venezuela-safely,en,PASS,KEEP,P3,High E-E-A-T value; strong FAQ; safety angle unique; ES counterpart exists,Expand body to 1500+ words with moderation process detail,ES counterpart exists — KEEP,—
venezuelan-dating-culture,en,PASS,KEEP,P1,High GEO value; strong topical authority signal; 3 substantive sections,Maintain — already strong,CREATE /es/cultura-de-citas-venezolanas — HIGH PRIORITY (Spanish speakers search this term heavily),Missing ES counterpart is a significant gap for a page with high Spanish-language intent
serious-relationship-venezuelan-woman,en,PASS,KEEP,P3,Strong purchase intent; differentiated from generic city pages; ES counterpart exists,Add 1 success-story anecdote for E-E-A-T,ES counterpart exists — KEEP,—
verified-venezuelan-dating-profiles,en,PASS,KEEP,P3,Unique verification-focused angle; high conversion intent; ES counterpart exists,Add FAQ: How does verification work?,ES counterpart exists — KEEP,—
venezuelan-women-in-united-states,en,PARTIAL,KEEP,P3,Largest diaspora market; country-level breadth justified; ES counterpart exists; weak on GEO specificity,Add 3 US metro callouts (Miami; Houston; NY) with diaspora statistics,ES counterpart exists — KEEP,Lower priority because city-level pages capture more specific intent
venezuelan-women-in-canada,en,PARTIAL,KEEP,P3,Significant Venezuelan diaspora in Toronto/Calgary/Vancouver; ES counterpart exists; needs city-level data,Add Toronto/Calgary diaspora statistics,ES counterpart exists — KEEP,—
venezuelan-women-in-spain,en,PARTIAL,KEEP,P1,Spain is primary European market for Venezuelan immigrants; strategic market; no ES counterpart yet,Maintain EN page — already adequate,CREATE /es/mujeres-venezolanas-en-espana — HIGH PRIORITY (Spain audience is Spanish-speaking),Spain audience will primarily search in Spanish — missing ES counterpart is a serious gap
venezuelan-women-in-united-kingdom,en,PARTIAL,KEEP,P3,UK has notable Venezuelan diaspora; ES counterpart exists; lacks UK-specific community data,Add London/Manchester Venezuelan community data,ES counterpart exists — KEEP,—
venezuelan-women-in-australia,en,PARTIAL,KEEP,P3,Small but legitimate Venezuelan community; sections are generic; ES counterpart exists,Add Sydney/Melbourne Venezuelan community reference,ES counterpart exists — KEEP,Consider whether standalone page is justified vs country-hub approach
venezuelan-women-in-miami,en,PARTIAL,KEEP,P3,Largest Venezuelan diaspora in US; ES counterpart exists; sections lack Doral/Brickell specificity,Add Doral/Brickell Venezuelan community district reference; specific cultural orgs,ES counterpart exists — KEEP,—
venezuelan-women-in-new-york,en,PARTIAL,KEEP,P3,Meaningful Venezuelan community in NYC; ES counterpart exists; structurally similar to Houston,Add Jackson Heights/Queens Venezuelan community reference,ES counterpart exists — KEEP,—
venezuelan-women-in-houston,en,PARTIAL,KEEP,P3,Significant Venezuelan diaspora; ES counterpart exists; generic section bodies,Add Westheimer/Energy Corridor community reference,ES counterpart exists — KEEP,—
venezuelan-women-in-los-angeles,en,PARTIAL,KEEP,P3,Moderate Venezuelan community; ES counterpart exists; generic sections,Add Glendale/Burbank Venezuelan community reference,ES counterpart exists — KEEP,—
venezuelan-women-in-dallas,en,PARTIAL,REWRITE,P2,Sections are structurally identical to Orlando/Atlanta via city-name swap; mild doorway-page risk; ES counterpart partial,"REWRITE: Add North Dallas/Addison Venezuelan community reference; unique Dallas oil industry connection angle to Venezuelan engineers",ES counterpart needs update after EN rewrite,Content must be meaningfully different from Orlando and Atlanta before indexing at scale
venezuelan-women-in-orlando,en,PARTIAL,REWRITE,P2,Generic sections structurally same as Dallas/Atlanta; city-name substitution only; ES counterpart exists,"REWRITE: Add International Drive/tourism corridor Venezuelan community angle; Disney/theme-park worker diaspora is genuine differentiator",Update ES counterpart after EN rewrite,Unique Orlando angle exists — use it
venezuelan-women-in-atlanta,en,PARTIAL,REWRITE,P2,No ES counterpart; sections structurally identical to Dallas/Orlando; Buford Highway Venezuelan community is real but unused,"REWRITE: Add Buford Highway Venezuelan restaurant district; Atlanta's role as Southeast hub for Venezuelan professionals",CREATE ES counterpart after rewrite,Buford Highway is a nationally known Venezuelan community hub — strong differentiator waiting to be used
venezuelan-women-in-chicago,en,PARTIAL,REWRITE,P2,No ES counterpart; generic template-swapped sections; smaller Venezuelan diaspora than Miami/NYC,"REWRITE: Add Chicago Venezuelan community specifics; Pilsen or Humboldt Park Hispanic community context; differentiate tone from Sun Belt city pages",CREATE ES counterpart after rewrite — MEDIUM PRIORITY,Genuine diaspora exists; page needs authentic local data to escape doorway-page risk
venezuelan-women-in-washington-dc,en,PARTIAL,REWRITE,P2,No ES counterpart; page ignores the strongest genuine differentiator — DC's Venezuelan political refugee and diplomatic community,"REWRITE: Lead with DC's unique role in Venezuelan political diaspora; Venezuelan embassy; asylum-seeker community; human-rights angle",CREATE ES counterpart after rewrite — HIGH for DC given policy audience,This page has a genuinely unique angle that no competitor can copy — use it
venezuelan-women-in-boston,en,PARTIAL,REWRITE,P2,Thin content; small Venezuelan community; sections are generic; no ES counterpart,"REWRITE: Cambridge/Greater Boston Venezuelan academic community (Harvard; MIT connection); be honest about small community — niche but authentic",CREATE ES counterpart after rewrite — LOW priority,If rewrite cannot produce 800+ words of authentic local content; consider MERGE into US hub page instead
venezuelan-women-in-madrid,en,PARTIAL,KEEP,P1,Strategic EN page for largest European Venezuelan community; no ES counterpart (critical gap),Maintain EN page — content is adequate,CREATE /es/mujeres-venezolanas-en-madrid — HIGH PRIORITY — immediately,Madrid is the #1 European destination for Venezuelan migrants; Spanish-speaking audience will search in Spanish
venezuelan-women-in-barcelona,en,PARTIAL,REWRITE,P3,Smaller Venezuelan community than Madrid; sections similar to Madrid pattern; no ES counterpart,"REWRITE: Catalan city + Venezuelan community angle; Barcelona as alternative to Madrid for Venezuelan professionals; Eixample Venezuelan enclave",CREATE ES counterpart after rewrite — MEDIUM,Justified as a standalone page given Spain's two major cities; must differentiate clearly from Madrid page
venezuelan-women-in-caracas,en,PARTIAL,KEEP,P3,Largest Venezuelan city; valid local dating market; ES counterpart exists; framing incorrectly mimics diaspora intent,Reframe as local Venezuela dating page — Caracas women dating within Venezuela; adjust intro to match local intent,ES counterpart exists — KEEP with same reframe,Diaspora framing is wrong for a Venezuela-based city page; local dating intent is different
