Category,Weight,RawScore,WeightedScore,Status,Severity,Confidence,Evidence,WhyItMatters,RecommendedFix,Priority
"C01 · Title Tag Optimization",8,7,56,PARTIAL,Medium,High,"Home.tsx:17-18 keyword-rich title ✓; All 41 landing pages have targeted title format ✓; FAQ.tsx:78 title from generic i18n key t.faq.title; Safety.tsx:12 t.safety.title (no target keyword); HowItWorks.tsx:10 no keyword research applied; index.html:5 static fallback title generic","FAQ and Safety pages could rank for high-volume informational queries (Venezuelan dating safety tips; romance scam Venezuelan women) — generic titles forfeit that traffic","Write explicit keyword-targeted title and description strings for FAQ; Safety; HowItWorks. Remove reliance on i18n keys for SEO-facing meta on these pages.",P2
"C02 · Meta Description Quality",7,7,49,PARTIAL,Low,High,"Landing pages have purpose-written 140-160 char descriptions ✓; Home.tsx:21-23 CTR-focused description ✓; FAQ.tsx:78 t.faq.intro.slice(0;155) — repurposed intro not SERP-optimized; Safety.tsx:13 t.safety.sub single translated string; Blog posts use DB meta_description_en/es field ✓","SERP click-through rate is driven heavily by meta description action language. Generic descriptions on high-traffic pages leave CTR on the table.","Write explicit description props for FAQ; Safety; HowItWorks with action language: Learn how MatchVenezuelan protects you from romance scams and verifies every profile.",P3
"C03 · Canonical URL Implementation",9,5,45,PARTIAL,High,High,"index.html:7 <link rel=canonical href=/> — RELATIVE URL INVALID; seo.ts:189 runtime canonical is absolute via absUrl() ✓ (CSR only); Resources.tsx:109 blog index canonical always /resources regardless of language — no ES canonical","Relative canonicals in static HTML fail for all non-JS crawlers including social scrapers (Facebook; Slack; Twitter). The blog index has no ES-language canonical.","index.html → <link rel=canonical href=https://matchvenezuelan.com/ />. Add ES alternate canonical to Resources page.",P1
"C04 · hreflang Implementation",9,6,54,PARTIAL,High,High,"seo.ts:192-201 hreflang cleared/re-set on each navigation ✓; LandingPageTemplate.tsx:27-33 bilingual alternates with x-default ✓; sitemap.xml correct xhtml:link entries ✓; Resources.tsx:223-244 no alternates key → default fallback sets all three hreflang to same canonical URL (FAIL); HowItWorks.tsx:10 same default fallback problem; seo.ts:193-198 default fallback incorrectly declares ES version at EN-only URLs","The default hreflang fallback actively misinforms Google about non-existent ES pages at EN-only URLs. Can cause Google to apply ES signals to EN-only pages and vice versa.","(1) Remove 3-hreflang default fallback; replace with en+x-default for EN-only pages. (2) Add /es/recursos route. (3) Consider /es/recursos/:slug for bilingual blog posts.",P1
"C05 · Structured Data / JSON-LD",9,5,45,PARTIAL,High,High,"seo.ts:212-218 Organization always emitted ✓; StructuredData.tsx:15-25 static WebSite+SearchAction on EN home; Home.tsx:31-42 also emits WebSite via useSeo() → DUPLICATE WebSite block; StructuredData.tsx:22 SearchAction target /search route DOES NOT EXIST in App.tsx (broken); seo.ts:212 Organization sameAs: [] no social links; FAQPage ✓ on FAQ+landing pages; BlogPosting+BreadcrumbList ✓ on blog posts; Missing: DatingService; AggregateRating; HowTo; Review schema","Broken SearchAction triggers Google Search Console errors. Missing DatingService means Google cannot classify business type. Missing review schema blocks rich snippets.","(1) Fix SearchAction URL to /resources?q={search_term_string}. (2) Remove duplicate WebSite block. (3) Add sameAs with social URLs. (4) Add DatingService schema on Home. (5) Add HowTo on HowItWorks. (6) Add AggregateRating once reviews exist.",P1
"C06 · Sitemap Quality",8,3,24,FAIL,Critical,High,"public/_redirects:1 /sitemap.xml → Supabase edge function 200 — hand-crafted public/sitemap.xml is NEVER SERVED; Supabase seo-feed edge function output unknown (may omit all 41 landing pages); robots.txt:39 Sitemap points to edge function; public/sitemap.xml (even if served): no <lastmod> on any entry; AUP/Anti-Solicitation/Cookie Policy missing; blog post hreflang alternates absent","If edge function returns only blog posts or empty sitemap-index; Google has no discovery path for 41 landing pages. All landing page SEO work invisible to Google.","(1) Immediately fetch https://matchvenezuelan.com/sitemap.xml — verify all 41 LP URLs present. (2) If not; remove /sitemap.xml line from _redirects so static file is served OR fix edge function. (3) Add <lastmod> to all entries.",P0
"C07 · Robots.txt",6,9,54,PASS,None,High,"public/robots.txt:4-28 correctly allows all public pages ✓; blocks /admin; /dashboard; /profile; /messages; /gifts/; /auth; /onboarding ✓; Crawl-delay for AhrefsBot and SemrushBot ✓; Sitemap reference absolute and correct ✓; No global Disallow affecting landing pages ✓","Correctly configured robots.txt ensures crawl budget is not wasted on private routes and noisy bots are throttled.","Minor: Consider Disallow: /__ to block dev audit harness routes.",P4
"C08 · Internal Linking Architecture",8,6,48,PARTIAL,Medium,High,"Home.tsx:115-150 links to 6 core landing pages ✓; LandingPageTemplate.tsx:141-162 relatedLinks (3-5 per page) ✓; ResourceDetail.tsx:370-388 Keep reading internal links ✓; PublicFooter.tsx:18-33 ZERO links to landing pages or blog posts (FAIL); Safety/FAQ/HowItWorks pages do not link to any landing pages (FAIL)","Footer links appear on 90+ pages and efficiently distribute PageRank. Currently landing pages receive internal equity only from Home and each other — suboptimal for competitive terms.","(1) Add 4-5 top landing pages to footer Product column. (2) Add Resources to footer. (3) Add contextual links from Safety to /dating-in-venezuela-safely. (4) Add HTML breadcrumb nav to landing pages.",P2
"C09 · Core Web Vitals / Performance",7,2,14,FAIL,Critical,High,"Build: hero-portrait.jpg 1546.70 kB; logo.png 1482.35 kB; index.js 1404.31 kB (gzip 404 kB); Home.tsx:8 TODO comment confirms known unfixed hero size; vite.config.ts no rollupOptions.output.manualChunks; Home.tsx:73 hero img no fetchPriority=high; LandingPageTemplate.tsx:69 has fetchPriority=high ✓; Estimated LCP on homepage mobile: 6-10s","Core Web Vitals are a direct Google ranking signal since 2021. 1.5 MB hero causes critical LCP failure. 1.4 MB JS bundle delays TTI and INP. Google suppresses pages with poor CWV scores.","(1) Convert hero-portrait.jpg to WebP <100KB. (2) Compress logo to WebP/SVG <20KB. (3) Add fetchPriority=high + <link rel=preload as=image> for homepage LCP. (4) Add Vite manualChunks splitting vendor; router; supabase packages. (5) Use dynamic import() for admin/app routes.",P0
"C10 · URL Structure & Slug Quality",7,9,63,PASS,None,High,"Slugs: meet-venezuelan-women; venezuelan-dating-site; venezuelan-women-in-miami — keyword-rich; lowercase; hyphenated ✓; ES: conocer-mujeres-venezolanas properly translated ✓; Blog slugs descriptive ✓; No underscores; query strings; or session IDs in public URLs ✓; LandingPage.tsx:12-14 correct slug extraction ✓","Strong URL structure provides clear keyword signals to search engines and improves click-through rates in SERPs.","No action required. Maintain current slug convention for all new pages.",P4
